Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
593,24,Female,Graduate,India,7,TikTok,Yes,5.8,4,Single,5,9
594,21,Male,Undergraduate,Switzerland,4.5,Facebook,No,7.3,7,In Relationship,2,5
Student_ID,23,Female,Graduate,Turkey,6.7,Instagram,Yes,6.1,5,Single,4,8
595,20,Male,Undergraduate,USA,5.5,Twitter,Yes,6.8,6,In Relationship,3,7
596,22,Female,Graduate,Mexico,6.4,Facebook,Yes,6.2,5,Single,4,8
597,19,Male,Undergraduate,France,4.7,Instagram,No,7.2,7,In Relationship,2,5
598,24,Female,Graduate,Canada,5.6,TikTok,Yes,6.7,6,Single,3,7
599,21,Male,Undergraduate,UK,6.2,Facebook,Yes,6.3,5,Single,4,8
600,23,Female,Graduate,Italy,4.8,Twitter,No,7.1,7,In Relationship,2,5
601,20,Male,Undergraduate,Russia,6.9,Instagram,Yes,5.9,4,Single,5,9
602,22,Female,Graduate,China,5.7,WeChat,Yes,6.7,6,In Relationship,3,7
603,19,Male,Undergraduate,Japan,4.4,Twitter,No,7.4,8,Single,2,4
604,24,Female,Graduate,Poland,6.1,TikTok,Yes,6.4,5,Single,4,8
605,21,Male,Undergraduate,Finland,4.3,Instagram,No,7.5,7,In Relationship,2,5
606,23,Female,Graduate,Spain,6.4,Facebook,Yes,6.2,5,Single,4,8
607,20,Male,Undergraduate,Denmark,4.5,Twitter,No,7.3,7,In Relationship,2,5
608,22,Female,Graduate,Ireland,5.9,Instagram,Yes,6.5,6,Single,3,7
609,19,Male,Undergraduate,India,7.2,TikTok,Yes,5.7,4,Single,5,9
610,24,Female,Graduate,Switzerland,4.6,Facebook,No,7.2,7,In Relationship,2,5
611,21,Male,Undergraduate,Turkey,6.8,Instagram,Yes,6,5,Single,4,8
612,23,Female,Graduate,USA,5.3,Twitter,Yes,6.8,6,In Relationship,3,7
Student_ID,22,Male,Graduate,Mexico,6.3,Facebook,Yes,6.2,5,Single,4,8
613,20,Female,Undergraduate,France,4.8,Instagram,No,7.1,7,In Relationship,2,5
614,23,Male,Graduate,Canada,5.7,TikTok,Yes,6.6,6,Single,3,7
615,21,Female,Undergraduate,UK,6.2,Twitter,Yes,6.3,5,Single,4,8
616,24,Male,Graduate,Italy,4.7,Facebook,No,7.2,7,In Relationship,2,5
617,19,Female,Undergraduate,Russia,6.8,Instagram,Yes,5.9,4,Single,5,9
618,22,Male,Graduate,China,5.6,WeChat,Yes,6.7,6,In Relationship,3,7
619,20,Female,Undergraduate,Japan,4.3,Twitter,No,7.5,8,Single,2,4
620,23,Male,Graduate,Poland,6.2,TikTok,Yes,6.3,5,Single,4,8
621,21,Female,Undergraduate,Finland,4.4,Instagram,No,7.4,7,In Relationship,2,5
622,24,Male,Graduate,Spain,6.5,Facebook,Yes,6.1,5,Single,4,8
623,19,Female,Undergraduate,Denmark,4.6,Twitter,No,7.3,7,In Relationship,2,5
624,22,Male,Graduate,Ireland,5.8,Instagram,Yes,6.6,6,Single,3,7
625,20,Female,Undergraduate,India,7.1,TikTok,Yes,5.8,4,Single,5,9
626,23,Male,Graduate,Switzerland,4.5,Facebook,No,7.3,7,In Relationship,2,5
627,21,Female,Undergraduate,Turkey,6.7,Instagram,Yes,6,5,Single,4,8
628,24,Male,Graduate,USA,5.4,Twitter,Yes,6.8,6,In Relationship,3,7
629,19,Female,Undergraduate,Mexico,6.4,TikTok,Yes,6.2,5,Single,4,8
630,22,Male,Graduate,France,4.7,Facebook,No,7.2,7,In Relationship,2,5
Student_ID,20,Female,Undergraduate,Canada,5.6,Instagram,Yes,6.7,6,Single,3,7
631,23,Male,Graduate,UK,6.3,Twitter,Yes,6.2,5,Single,4,8
632,21,Female,Undergraduate,Italy,4.8,TikTok,No,7.1,7,In Relationship,2,5
633,24,Male,Graduate,Russia,6.9,Instagram,Yes,5.9,4,Single,5,9
634,19,Female,Undergraduate,China,5.7,WeChat,Yes,6.7,6,In Relationship,3,7
635,22,Male,Graduate,Japan,4.4,Twitter,No,7.4,8,Single,2,4
636,20,Female,Undergraduate,Poland,6.1,Facebook,Yes,6.4,5,Single,4,8
637,23,Male,Graduate,Finland,4.3,Instagram,No,7.5,7,In Relationship,2,5
638,21,Female,Undergraduate,Spain,6.4,TikTok,Yes,6.2,5,Single,4,8
639,24,Male,Graduate,Denmark,4.5,Twitter,No,7.3,7,In Relationship,2,5
640,19,Female,Undergraduate,Ireland,5.9,Instagram,Yes,6.5,6,Single,3,7
641,22,Male,Graduate,India,7.2,Facebook,Yes,5.7,4,Single,5,9
642,20,Female,Undergraduate,Switzerland,4.6,TikTok,No,7.2,7,In Relationship,2,5
643,23,Male,Graduate,Turkey,6.8,Instagram,Yes,6,5,Single,4,8
644,21,Female,Undergraduate,USA,5.3,Twitter,Yes,6.8,6,In Relationship,3,7
645,24,Male,Graduate,Mexico,6.2,Facebook,Yes,6.3,5,Single,4,8
646,19,Female,Undergraduate,France,4.7,Instagram,No,7.2,7,In Relationship,2,5
647,22,Male,Graduate,Canada,5.8,TikTok,Yes,6.6,6,Single,3,7
648,20,Female,Undergraduate,UK,6.1,Twitter,Yes,6.4,5,Single,4,8
Student_ID,23,Male,Graduate,Italy,4.8,Facebook,No,7.1,7,In Relationship,2,5
649,21,Female,Undergraduate,Russia,6.7,Instagram,Yes,6,4,Single,5,9
650,24,Male,Graduate,China,5.5,WeChat,Yes,6.8,6,In Relationship,3,7
651,19,Female,Undergraduate,Japan,4.2,Twitter,No,7.5,8,Single,2,4
652,22,Male,Graduate,Poland,6.3,TikTok,Yes,6.2,5,Single,4,8
653,20,Female,Undergraduate,Finland,4.4,Instagram,No,7.4,7,In Relationship,2,5
654,23,Male,Graduate,Spain,6.5,Facebook,Yes,6.1,5,Single,4,8
655,21,Female,Undergraduate,Denmark,4.6,Twitter,No,7.3,7,In Relationship,2,5
656,24,Male,Graduate,Ireland,5.9,Instagram,Yes,6.5,6,Single,3,7
657,19,Female,Undergraduate,India,7,TikTok,Yes,5.8,4,Single,5,9
658,22,Male,Graduate,Switzerland,4.5,Facebook,No,7.3,7,In Relationship,2,5
659,20,Female,Undergraduate,Turkey,6.6,Instagram,Yes,6.1,5,Single,4,8
660,23,Male,Graduate,USA,5.5,Twitter,Yes,6.7,6,In Relationship,3,7
661,21,Female,Undergraduate,Mexico,6.3,TikTok,Yes,6.2,5,Single,4,8
662,24,Male,Graduate,France,4.8,Facebook,No,7.1,7,In Relationship,2,5
663,19,Female,Undergraduate,Canada,5.7,Instagram,Yes,6.6,6,Single,3,7
664,22,Male,Graduate,UK,6.2,Twitter,Yes,6.3,5,Single,4,8
665,20,Female,Undergraduate,Italy,4.7,TikTok,No,7.2,7,In Relationship,2,5
666,23,Male,Graduate,Russia,6.8,Instagram,Yes,5.9,4,Single,5,9
Student_ID,21,Female,Undergraduate,China,5.6,WeChat,Yes,6.7,6,In Relationship,3,7
667,24,Male,Graduate,Japan,4.3,Twitter,No,7.5,8,Single,2,4
668,19,Female,Undergraduate,Poland,6.2,Facebook,Yes,6.3,5,Single,4,8
669,,,,,,,,,,,,
